Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 11.233933s, Fenwick: 1.0371455s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 1.03	| 0.98	| 0.05
1	| 9.10	| 8.89	| 0.21
2	| 2.95	| 2.91	| 0.05
3	| 12.99	| 13.10	| 0.11
4	| 14.78	| 14.74	| 0.04
5	| 14.27	| 14.17	| 0.11
6	| 1.97	| 1.95	| 0.02
7	| 6.07	| 6.20	| 0.14
8	| 11.93	| 11.86	| 0.07
9	| 8.57	| 8.42	| 0.15
10	| 17.07	| 16.84	| 0.24
11	| 7.31	| 7.32	| 0.01
12	| 4.22	| 4.12	| 0.10
13	| 12.30	| 12.47	| 0.17
14	| 12.57	| 12.52	| 0.05
15	| 6.60	| 6.68	| 0.08
16	| 9.99	| 9.76	| 0.23
17	| 18.19	| 17.88	| 0.30
18	| 12.17	| 12.09	| 0.09
19	| 15.76	| 15.62	| 0.14
20	| 11.41	| 11.18	| 0.23
21	| 14.64	| 14.51	| 0.14
22	| 0.83	| 0.83	| 0.00
23	| 13.08	| 12.90	| 0.17
24	| 7.12	| 6.99	| 0.13
25	| 10.12	| 9.99	| 0.13
26	| 11.06	| 10.88	| 0.19
27	| 15.46	| 15.28	| 0.18
28	| 12.38	| 12.47	| 0.09
29	| 10.87	| 10.72	| 0.15
30	| 3.75	| 3.93	| 0.18
31	| 4.42	| 4.30	| 0.13
32	| 3.87	| 3.79	| 0.08
33	| 5.88	| 5.98	| 0.10
34	| 15.82	| 15.75	| 0.07
35	| 0.38	| 0.39	| 0.01
36	| 15.81	| 16.00	| 0.18
37	| 6.35	| 6.25	| 0.10
38	| 5.28	| 5.38	| 0.10
39	| 11.30	| 11.25	| 0.05
40	| 4.81	| 4.85	| 0.04
41	| 8.45	| 8.47	| 0.02
42	| 14.92	| 15.11	| 0.19
43	| 3.79	| 3.77	| 0.02
44	| 5.79	| 5.71	| 0.08
45	| 16.66	| 16.99	| 0.33
46	| 15.06	| 15.20	| 0.14
47	| 12.37	| 12.44	| 0.07
48	| 7.81	| 7.76	| 0.05
49	| 15.29	| 15.33	| 0.05
50	| 17.73	| 18.07	| 0.34
51	| 15.55	| 15.79	| 0.24
52	| 4.94	| 5.03	| 0.09
53	| 12.95	| 12.93	| 0.02
54	| 16.70	| 16.63	| 0.06
55	| 8.58	| 8.67	| 0.09
56	| 2.62	| 2.61	| 0.01
57	| 17.48	| 17.62	| 0.13
58	| 17.87	| 17.92	| 0.05
59	| 17.52	| 17.47	| 0.05
60	| 11.16	| 11.15	| 0.01
61	| 15.03	| 14.88	| 0.15
62	| 7.94	| 7.92	| 0.02
63	| 1.06	| 1.10	| 0.03
64	| 11.28	| 11.17	| 0.11
65	| 18.68	| 18.51	| 0.17
66	| 2.97	| 2.90	| 0.07
67	| 12.07	| 11.88	| 0.19
68	| 2.35	| 2.25	| 0.10
69	| 18.89	| 18.62	| 0.27
70	| 13.91	| 13.48	| 0.42
71	| 2.05	| 2.02	| 0.04
72	| 16.56	| 16.65	| 0.08
73	| 6.11	| 6.10	| 0.00
74	| 6.86	| 6.82	| 0.04
75	| 18.78	| 18.60	| 0.18
76	| 16.06	| 15.93	| 0.13
77	| 4.68	| 4.68	| 0.00
78	| 1.46	| 1.41	| 0.04
79	| 7.63	| 7.71	| 0.08
80	| 18.35	| 18.34	| 0.00
81	| 15.40	| 15.15	| 0.25
82	| 12.94	| 12.98	| 0.04
83	| 16.40	| 16.61	| 0.21
84	| 12.85	| 12.70	| 0.15
85	| 6.59	| 6.65	| 0.06
86	| 15.95	| 16.07	| 0.12
87	| 1.95	| 2.05	| 0.10
88	| 7.19	| 7.27	| 0.08
89	| 17.62	| 17.79	| 0.17
90	| 9.71	| 9.39	| 0.32
91	| 14.80	| 14.97	| 0.17
92	| 4.71	| 4.82	| 0.11
93	| 9.24	| 9.31	| 0.07
94	| 16.41	| 16.33	| 0.08
95	| 11.70	| 11.91	| 0.21
96	| 14.03	| 14.06	| 0.04
97	| 18.08	| 18.11	| 0.03
98	| 16.19	| 15.99	| 0.21
99	| 18.43	| 18.69	| 0.25
