Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 37.086494417s, Fenwick: 953.474ms

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 0.10	| 0.11	| 0.01
1	| 0.04	| 0.02	| 0.03
2	| 0.24	| 0.27	| 0.04
3	| 0.00	| 0.00	| 0.00
4	| 0.25	| 0.25	| 0.00
5	| 0.16	| 0.14	| 0.01
6	| 0.17	| 0.15	| 0.02
7	| 0.34	| 0.32	| 0.02
8	| 0.30	| 0.31	| 0.01
9	| 0.15	| 0.17	| 0.02
10	| 0.05	| 0.04	| 0.01
11	| 0.13	| 0.13	| 0.00
12	| 0.12	| 0.10	| 0.02
13	| 0.34	| 0.37	| 0.03
14	| 0.32	| 0.32	| 0.01
15	| 0.12	| 0.12	| 0.00
16	| 0.22	| 0.22	| 0.00
17	| 0.17	| 0.14	| 0.03
18	| 0.03	| 0.02	| 0.00
19	| 0.22	| 0.22	| 0.01
20	| 0.01	| 0.01	| 0.00
21	| 0.17	| 0.17	| 0.00
22	| 0.29	| 0.29	| 0.00
23	| 0.11	| 0.13	| 0.02
24	| 0.20	| 0.21	| 0.01
25	| 0.24	| 0.21	| 0.04
26	| 0.23	| 0.21	| 0.02
27	| 0.24	| 0.28	| 0.04
28	| 0.06	| 0.07	| 0.01
29	| 0.15	| 0.16	| 0.00
30	| 0.25	| 0.25	| 0.01
31	| 0.06	| 0.06	| 0.00
32	| 0.00	| 0.00	| 0.00
33	| 0.19	| 0.16	| 0.02
34	| 0.12	| 0.15	| 0.03
35	| 0.22	| 0.24	| 0.02
36	| 0.13	| 0.17	| 0.03
37	| 0.29	| 0.30	| 0.01
38	| 0.10	| 0.10	| 0.00
39	| 0.02	| 0.02	| 0.00
40	| 0.34	| 0.34	| 0.00
41	| 0.04	| 0.03	| 0.01
42	| 0.24	| 0.24	| 0.01
43	| 0.05	| 0.06	| 0.00
44	| 0.18	| 0.18	| 0.00
45	| 0.07	| 0.06	| 0.01
46	| 0.03	| 0.01	| 0.02
47	| 0.27	| 0.29	| 0.02
