Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 15.272106792s, Fenwick: 1.813374958s, Python: 32.697039842s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 1.26	| 1.22	| 1.23	| 0.04
1	| 1.40	| 1.34	| 1.39	| 0.06
2	| 5.58	| 5.63	| 5.61	| 0.05
3	| 4.84	| 4.82	| 4.79	| 0.05
4	| 2.71	| 2.71	| 2.66	| 0.06
5	| 5.98	| 6.04	| 5.88	| 0.16
6	| 1.42	| 1.50	| 1.45	| 0.07
7	| 5.06	| 5.29	| 5.17	| 0.23
8	| 4.66	| 4.66	| 4.67	| 0.01
9	| 0.19	| 0.19	| 0.17	| 0.02
10	| 5.36	| 5.44	| 5.38	| 0.07
11	| 1.74	| 1.77	| 1.67	| 0.11
12	| 4.47	| 4.49	| 4.33	| 0.16
13	| 5.38	| 5.31	| 5.25	| 0.13
14	| 3.42	| 3.42	| 3.36	| 0.06
15	| 5.94	| 5.91	| 5.90	| 0.04
16	| 5.13	| 4.85	| 4.93	| 0.28
17	| 0.85	| 0.86	| 0.84	| 0.02
18	| 4.41	| 4.40	| 4.46	| 0.06
19	| 1.54	| 1.57	| 1.62	| 0.08
20	| 4.01	| 4.05	| 4.10	| 0.09
21	| 5.13	| 5.14	| 5.12	| 0.02
22	| 1.15	| 1.10	| 1.15	| 0.05
23	| 0.44	| 0.46	| 0.44	| 0.02
24	| 1.59	| 1.63	| 1.55	| 0.08
25	| 2.27	| 2.35	| 2.26	| 0.09
26	| 1.07	| 1.04	| 1.09	| 0.05
27	| 3.26	| 3.08	| 3.11	| 0.19
28	| 2.73	| 2.73	| 2.74	| 0.01
29	| 5.58	| 5.29	| 5.46	| 0.29
30	| 4.45	| 4.47	| 4.31	| 0.16
31	| 5.37	| 5.33	| 5.43	| 0.10
32	| 1.97	| 1.94	| 1.88	| 0.09
33	| 4.51	| 4.38	| 4.46	| 0.12
34	| 4.19	| 4.27	| 4.23	| 0.08
35	| 0.79	| 0.74	| 0.70	| 0.10
36	| 4.68	| 4.57	| 4.46	| 0.22
37	| 4.60	| 4.53	| 4.58	| 0.07
38	| 0.68	| 0.77	| 0.71	| 0.10
39	| 3.50	| 3.47	| 3.38	| 0.11
40	| 0.55	| 0.49	| 0.53	| 0.05
41	| 4.62	| 4.65	| 4.60	| 0.05
42	| 0.63	| 0.61	| 0.61	| 0.02
43	| 5.64	| 5.73	| 5.58	| 0.16
44	| 5.71	| 5.66	| 5.60	| 0.12
45	| 2.67	| 2.60	| 2.42	| 0.25
46	| 1.41	| 1.46	| 1.50	| 0.09
47	| 6.48	| 6.30	| 6.47	| 0.18
48	| 3.54	| 3.55	| 3.52	| 0.03
49	| 1.85	| 1.82	| 1.86	| 0.04
50	| 3.00	| 3.00	| 3.00	| 0.01
51	| 6.40	| 6.55	| 6.53	| 0.15
52	| 4.17	| 4.23	| 4.15	| 0.07
53	| 2.80	| 2.73	| 2.84	| 0.11
54	| 4.15	| 4.44	| 4.34	| 0.29
55	| 1.75	| 1.70	| 1.73	| 0.05
56	| 1.79	| 1.76	| 1.82	| 0.06
57	| 2.99	| 2.91	| 2.92	| 0.08
58	| 6.05	| 6.23	| 6.29	| 0.24
59	| 0.53	| 0.47	| 0.50	| 0.06
60	| 4.62	| 4.51	| 4.51	| 0.11
61	| 3.14	| 3.13	| 3.14	| 0.01
62	| 4.00	| 4.08	| 4.09	| 0.09
63	| 4.20	| 4.27	| 4.20	| 0.08
64	| 5.22	| 5.10	| 5.08	| 0.15
65	| 2.56	| 2.75	| 2.75	| 0.20
66	| 1.53	| 1.52	| 1.52	| 0.01
67	| 4.85	| 4.91	| 4.96	| 0.11
68	| 0.34	| 0.35	| 0.35	| 0.01
69	| 0.59	| 0.57	| 0.56	| 0.03
70	| 4.28	| 4.51	| 4.29	| 0.23
71	| 0.71	| 0.67	| 0.66	| 0.05
72	| 4.96	| 4.95	| 4.88	| 0.09
73	| 5.22	| 5.38	| 5.32	| 0.17
74	| 3.32	| 3.33	| 3.36	| 0.04
75	| 3.15	| 3.11	| 3.17	| 0.05
76	| 2.99	| 2.90	| 2.99	| 0.09
77	| 5.54	| 5.50	| 5.58	| 0.08
78	| 4.44	| 4.46	| 4.45	| 0.02
79	| 5.31	| 5.21	| 5.24	| 0.10
80	| 3.77	| 3.87	| 3.83	| 0.10
81	| 4.95	| 4.87	| 4.88	| 0.08
82	| 0.46	| 0.47	| 0.45	| 0.03
83	| 1.94	| 1.91	| 1.93	| 0.03
84	| 6.52	| 6.47	| 6.47	| 0.06
85	| 3.54	| 3.54	| 3.54	| 0.01
86	| 4.41	| 4.38	| 4.42	| 0.04
87	| 2.29	| 2.28	| 2.33	| 0.06
88	| 0.98	| 1.01	| 0.92	| 0.09
89	| 3.02	| 3.03	| 2.91	| 0.12
90	| 6.34	| 6.37	| 6.34	| 0.03
91	| 5.25	| 5.25	| 5.27	| 0.01
92	| 0.48	| 0.53	| 0.48	| 0.05
93	| 4.31	| 4.24	| 4.32	| 0.08
94	| 1.12	| 1.12	| 1.14	| 0.02
95	| 3.57	| 3.56	| 3.53	| 0.04
96	| 5.72	| 5.85	| 5.79	| 0.13
97	| 0.19	| 0.20	| 0.20	| 0.01
98	| 2.15	| 2.17	| 2.10	| 0.07
99	| 2.97	| 2.95	| 2.85	| 0.12
100	| 4.45	| 4.43	| 4.42	| 0.03
101	| 4.92	| 4.85	| 5.01	| 0.17
102	| 1.47	| 1.49	| 1.45	| 0.04
103	| 5.89	| 5.94	| 5.87	| 0.07
104	| 2.62	| 2.58	| 2.62	| 0.04
105	| 1.22	| 1.23	| 1.17	| 0.06
106	| 6.44	| 6.47	| 6.31	| 0.16
107	| 3.99	| 3.98	| 3.98	| 0.01
108	| 4.23	| 4.28	| 4.42	| 0.19
109	| 0.73	| 0.70	| 0.68	| 0.04
110	| 6.07	| 6.04	| 6.12	| 0.08
111	| 0.62	| 0.64	| 0.63	| 0.02
112	| 4.98	| 5.16	| 4.97	| 0.19
113	| 0.89	| 0.86	| 0.85	| 0.04
114	| 5.77	| 5.65	| 5.74	| 0.12
115	| 1.81	| 1.81	| 1.76	| 0.05
116	| 4.03	| 3.96	| 4.03	| 0.06
117	| 0.22	| 0.21	| 0.24	| 0.03
118	| 5.49	| 5.47	| 5.34	| 0.15
119	| 6.42	| 6.28	| 6.19	| 0.22
120	| 2.46	| 2.39	| 2.44	| 0.07
121	| 2.98	| 3.02	| 2.97	| 0.05
122	| 0.42	| 0.36	| 0.38	| 0.06
123	| 3.33	| 3.35	| 3.23	| 0.12
124	| 0.12	| 0.13	| 0.12	| 0.01
125	| 3.17	| 3.12	| 3.17	| 0.06
126	| 2.57	| 2.48	| 2.54	| 0.10
127	| 2.04	| 1.95	| 1.99	| 0.09
128	| 3.08	| 2.98	| 3.08	| 0.10
129	| 0.75	| 0.78	| 0.78	| 0.04
130	| 0.21	| 0.18	| 0.20	| 0.04
131	| 6.31	| 6.41	| 6.27	| 0.14
132	| 0.18	| 0.14	| 0.15	| 0.04
133	| 3.32	| 3.37	| 3.42	| 0.10
134	| 3.72	| 3.58	| 3.54	| 0.18
135	| 3.38	| 3.33	| 3.31	| 0.07
136	| 4.76	| 4.89	| 4.86	| 0.13
137	| 3.16	| 3.16	| 3.23	| 0.07
138	| 5.71	| 5.69	| 5.84	| 0.15
139	| 5.88	| 5.91	| 5.89	| 0.03
140	| 6.26	| 6.44	| 6.31	| 0.18
141	| 5.52	| 5.66	| 5.65	| 0.14
142	| 5.55	| 5.56	| 5.54	| 0.02
143	| 1.53	| 1.46	| 1.45	| 0.08
144	| 5.00	| 4.84	| 4.71	| 0.28
145	| 0.66	| 0.72	| 0.70	| 0.05
146	| 0.69	| 0.70	| 0.72	| 0.03
