Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 966.861792ms, Fenwick: 997.026459ms, Python: 28.707154989s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 0.09	| 0.11	| 0.10	| 0.02
1	| 0.03	| 0.03	| 0.01	| 0.02
2	| 0.25	| 0.25	| 0.27	| 0.02
3	| 0.00	| 0.01	| 0.01	| 0.00
4	| 0.21	| 0.21	| 0.22	| 0.01
5	| 0.14	| 0.14	| 0.13	| 0.00
6	| 0.16	| 0.20	| 0.19	| 0.04
7	| 0.29	| 0.32	| 0.31	| 0.03
8	| 0.27	| 0.30	| 0.27	| 0.03
9	| 0.15	| 0.18	| 0.18	| 0.03
10	| 0.05	| 0.04	| 0.04	| 0.01
11	| 0.12	| 0.11	| 0.11	| 0.02
12	| 0.12	| 0.13	| 0.14	| 0.02
13	| 0.36	| 0.35	| 0.33	| 0.03
14	| 0.34	| 0.32	| 0.30	| 0.03
15	| 0.13	| 0.14	| 0.14	| 0.01
16	| 0.24	| 0.22	| 0.22	| 0.02
17	| 0.18	| 0.17	| 0.16	| 0.02
18	| 0.03	| 0.03	| 0.03	| 0.01
19	| 0.25	| 0.22	| 0.25	| 0.03
20	| 0.01	| 0.01	| 0.01	| 0.00
21	| 0.18	| 0.18	| 0.19	| 0.01
22	| 0.31	| 0.31	| 0.29	| 0.02
23	| 0.11	| 0.11	| 0.10	| 0.01
24	| 0.27	| 0.22	| 0.21	| 0.05
25	| 0.24	| 0.21	| 0.22	| 0.03
26	| 0.18	| 0.19	| 0.23	| 0.04
27	| 0.27	| 0.26	| 0.29	| 0.02
28	| 0.07	| 0.07	| 0.08	| 0.02
29	| 0.16	| 0.15	| 0.19	| 0.04
30	| 0.27	| 0.30	| 0.27	| 0.03
31	| 0.06	| 0.06	| 0.05	| 0.01
32	| 0.01	| 0.01	| 0.01	| 0.00
33	| 0.19	| 0.20	| 0.21	| 0.03
34	| 0.15	| 0.15	| 0.17	| 0.02
35	| 0.20	| 0.23	| 0.22	| 0.03
36	| 0.16	| 0.16	| 0.16	| 0.00
37	| 0.35	| 0.33	| 0.33	| 0.02
38	| 0.11	| 0.10	| 0.10	| 0.01
39	| 0.02	| 0.02	| 0.02	| 0.01
40	| 0.30	| 0.34	| 0.33	| 0.04
41	| 0.04	| 0.03	| 0.03	| 0.01
42	| 0.24	| 0.24	| 0.26	| 0.02
43	| 0.06	| 0.05	| 0.05	| 0.01
44	| 0.19	| 0.18	| 0.18	| 0.01
45	| 0.06	| 0.08	| 0.06	| 0.02
46	| 0.02	| 0.02	| 0.01	| 0.01
47	| 0.25	| 0.28	| 0.25	| 0.03
48	| 0.24	| 0.21	| 0.22	| 0.02
49	| 0.30	| 0.30	| 0.30	| 0.01
50	| 0.01	| 0.01	| 0.02	| 0.01
51	| 0.06	| 0.06	| 0.06	| 0.01
52	| 0.19	| 0.20	| 0.20	| 0.01
53	| 0.23	| 0.25	| 0.21	| 0.03
54	| 0.19	| 0.20	| 0.21	| 0.02
55	| 0.19	| 0.18	| 0.17	| 0.03
56	| 0.13	| 0.14	| 0.14	| 0.01
57	| 0.01	| 0.01	| 0.00	| 0.01
58	| 0.17	| 0.21	| 0.18	| 0.03
59	| 0.13	| 0.14	| 0.11	| 0.02
60	| 0.27	| 0.32	| 0.26	| 0.06
61	| 0.21	| 0.20	| 0.24	| 0.04
62	| 0.02	| 0.02	| 0.02	| 0.01
63	| 0.24	| 0.23	| 0.23	| 0.01
64	| 0.21	| 0.22	| 0.23	| 0.02
65	| 0.32	| 0.30	| 0.31	| 0.02
66	| 0.03	| 0.02	| 0.03	| 0.01
67	| 0.00	| 0.00	| 0.00	| 0.00
68	| 0.07	| 0.06	| 0.07	| 0.01
69	| 0.07	| 0.07	| 0.06	| 0.01
70	| 0.11	| 0.11	| 0.08	| 0.03
71	| 0.15	| 0.15	| 0.15	| 0.00
72	| 0.08	| 0.09	| 0.08	| 0.01
73	| 0.21	| 0.20	| 0.20	| 0.01
74	| 0.16	| 0.15	| 0.16	| 0.01
75	| 0.08	| 0.11	| 0.12	| 0.04
76	| 0.25	| 0.24	| 0.28	| 0.04
77	| 0.09	| 0.09	| 0.08	| 0.01
78	| 0.11	| 0.10	| 0.12	| 0.02
79	| 0.20	| 0.18	| 0.21	| 0.03
80	| 0.21	| 0.22	| 0.20	| 0.02
81	| 0.19	| 0.20	| 0.19	| 0.02
82	| 0.23	| 0.24	| 0.21	| 0.03
83	| 0.14	| 0.12	| 0.13	| 0.02
84	| 0.10	| 0.09	| 0.09	| 0.01
85	| 0.01	| 0.02	| 0.02	| 0.01
86	| 0.10	| 0.10	| 0.10	| 0.01
87	| 0.17	| 0.17	| 0.16	| 0.01
88	| 0.34	| 0.33	| 0.32	| 0.02
89	| 0.01	| 0.01	| 0.01	| 0.00
90	| 0.27	| 0.25	| 0.28	| 0.03
91	| 0.05	| 0.05	| 0.06	| 0.01
92	| 0.10	| 0.11	| 0.12	| 0.02
93	| 0.19	| 0.21	| 0.19	| 0.02
94	| 0.14	| 0.13	| 0.13	| 0.02
95	| 0.29	| 0.26	| 0.26	| 0.03
96	| 0.24	| 0.21	| 0.22	| 0.03
97	| 0.13	| 0.14	| 0.13	| 0.01
98	| 0.33	| 0.32	| 0.32	| 0.02
99	| 0.22	| 0.23	| 0.23	| 0.01
100	| 0.05	| 0.03	| 0.03	| 0.02
101	| 0.23	| 0.27	| 0.25	| 0.04
102	| 0.32	| 0.32	| 0.31	| 0.01
103	| 0.29	| 0.33	| 0.28	| 0.05
104	| 0.11	| 0.13	| 0.18	| 0.07
105	| 0.04	| 0.03	| 0.03	| 0.01
106	| 0.13	| 0.11	| 0.15	| 0.04
107	| 0.05	| 0.05	| 0.05	| 0.00
108	| 0.10	| 0.11	| 0.11	| 0.02
109	| 0.14	| 0.11	| 0.13	| 0.03
110	| 0.06	| 0.07	| 0.07	| 0.01
111	| 0.17	| 0.17	| 0.16	| 0.01
112	| 0.07	| 0.08	| 0.07	| 0.01
113	| 0.25	| 0.24	| 0.23	| 0.03
114	| 0.21	| 0.22	| 0.21	| 0.01
115	| 0.21	| 0.21	| 0.22	| 0.02
116	| 0.14	| 0.12	| 0.13	| 0.02
117	| 0.31	| 0.29	| 0.30	| 0.02
118	| 0.23	| 0.23	| 0.20	| 0.03
119	| 0.18	| 0.17	| 0.20	| 0.02
120	| 0.14	| 0.13	| 0.13	| 0.01
121	| 0.28	| 0.29	| 0.26	| 0.03
122	| 0.23	| 0.24	| 0.22	| 0.02
123	| 0.09	| 0.08	| 0.10	| 0.01
124	| 0.22	| 0.25	| 0.24	| 0.02
125	| 0.02	| 0.01	| 0.01	| 0.01
126	| 0.04	| 0.04	| 0.03	| 0.01
127	| 0.22	| 0.20	| 0.23	| 0.03
128	| 0.30	| 0.30	| 0.30	| 0.01
129	| 0.09	| 0.06	| 0.08	| 0.02
130	| 0.02	| 0.02	| 0.03	| 0.01
131	| 0.21	| 0.20	| 0.18	| 0.02
132	| 0.27	| 0.27	| 0.29	| 0.02
133	| 0.10	| 0.10	| 0.09	| 0.00
134	| 0.32	| 0.29	| 0.30	| 0.03
135	| 0.04	| 0.04	| 0.04	| 0.00
136	| 0.20	| 0.18	| 0.19	| 0.02
137	| 0.00	| 0.00	| 0.00	| 0.00
138	| 0.31	| 0.29	| 0.29	| 0.02
139	| 0.21	| 0.21	| 0.22	| 0.02
140	| 0.14	| 0.15	| 0.16	| 0.01
141	| 0.18	| 0.20	| 0.17	| 0.03
142	| 0.16	| 0.16	| 0.17	| 0.01
143	| 0.14	| 0.10	| 0.13	| 0.04
144	| 0.17	| 0.19	| 0.19	| 0.02
145	| 0.28	| 0.29	| 0.28	| 0.01
146	| 0.13	| 0.12	| 0.11	| 0.02
147	| 0.04	| 0.03	| 0.04	| 0.01
148	| 0.33	| 0.33	| 0.34	| 0.01
149	| 0.02	| 0.02	| 0.01	| 0.01
150	| 0.06	| 0.08	| 0.07	| 0.02
151	| 0.14	| 0.13	| 0.14	| 0.01
152	| 0.13	| 0.12	| 0.12	| 0.01
153	| 0.11	| 0.12	| 0.10	| 0.02
154	| 0.17	| 0.18	| 0.17	| 0.01
155	| 0.25	| 0.25	| 0.25	| 0.00
156	| 0.13	| 0.16	| 0.13	| 0.03
157	| 0.17	| 0.15	| 0.18	| 0.03
158	| 0.12	| 0.13	| 0.12	| 0.01
159	| 0.25	| 0.20	| 0.24	| 0.05
160	| 0.11	| 0.12	| 0.12	| 0.01
161	| 0.07	| 0.08	| 0.07	| 0.01
162	| 0.14	| 0.16	| 0.15	| 0.02
163	| 0.14	| 0.14	| 0.16	| 0.02
164	| 0.25	| 0.24	| 0.26	| 0.01
165	| 0.14	| 0.15	| 0.15	| 0.01
166	| 0.12	| 0.10	| 0.10	| 0.02
167	| 0.08	| 0.07	| 0.07	| 0.02
168	| 0.14	| 0.12	| 0.11	| 0.02
169	| 0.11	| 0.09	| 0.10	| 0.01
170	| 0.35	| 0.32	| 0.35	| 0.04
171	| 0.25	| 0.26	| 0.24	| 0.02
172	| 0.28	| 0.26	| 0.28	| 0.02
173	| 0.30	| 0.33	| 0.34	| 0.04
174	| 0.18	| 0.15	| 0.18	| 0.03
175	| 0.10	| 0.13	| 0.12	| 0.03
176	| 0.19	| 0.21	| 0.21	| 0.02
177	| 0.04	| 0.04	| 0.05	| 0.01
178	| 0.10	| 0.12	| 0.12	| 0.02
179	| 0.22	| 0.18	| 0.19	| 0.04
180	| 0.17	| 0.19	| 0.14	| 0.04
181	| 0.21	| 0.21	| 0.19	| 0.03
182	| 0.06	| 0.06	| 0.08	| 0.02
183	| 0.14	| 0.13	| 0.12	| 0.02
184	| 0.02	| 0.02	| 0.03	| 0.01
185	| 0.01	| 0.01	| 0.01	| 0.00
186	| 0.28	| 0.32	| 0.28	| 0.04
187	| 0.15	| 0.17	| 0.17	| 0.02
188	| 0.25	| 0.23	| 0.24	| 0.02
189	| 0.26	| 0.27	| 0.24	| 0.03
190	| 0.17	| 0.18	| 0.17	| 0.02
191	| 0.32	| 0.30	| 0.31	| 0.02
192	| 0.20	| 0.22	| 0.20	| 0.02
193	| 0.04	| 0.04	| 0.03	| 0.01
194	| 0.29	| 0.32	| 0.29	| 0.03
195	| 0.31	| 0.30	| 0.30	| 0.01
196	| 0.05	| 0.05	| 0.06	| 0.01
197	| 0.03	| 0.05	| 0.04	| 0.02
198	| 0.08	| 0.07	| 0.08	| 0.02
199	| 0.03	| 0.03	| 0.02	| 0.01
200	| 0.16	| 0.20	| 0.18	| 0.04
201	| 0.16	| 0.15	| 0.18	| 0.03
202	| 0.01	| 0.02	| 0.01	| 0.01
203	| 0.14	| 0.11	| 0.13	| 0.02
204	| 0.22	| 0.27	| 0.24	| 0.05
205	| 0.01	| 0.00	| 0.01	| 0.01
206	| 0.03	| 0.04	| 0.05	| 0.01
207	| 0.02	| 0.02	| 0.03	| 0.01
208	| 0.21	| 0.24	| 0.26	| 0.05
209	| 0.21	| 0.17	| 0.21	| 0.04
210	| 0.21	| 0.23	| 0.23	| 0.02
211	| 0.22	| 0.22	| 0.20	| 0.02
212	| 0.09	| 0.11	| 0.11	| 0.02
213	| 0.06	| 0.06	| 0.06	| 0.01
214	| 0.26	| 0.32	| 0.31	| 0.06
215	| 0.09	| 0.08	| 0.08	| 0.01
216	| 0.29	| 0.29	| 0.29	| 0.00
217	| 0.06	| 0.07	| 0.05	| 0.02
218	| 0.03	| 0.03	| 0.03	| 0.01
219	| 0.12	| 0.13	| 0.14	| 0.01
220	| 0.20	| 0.18	| 0.18	| 0.02
221	| 0.03	| 0.03	| 0.03	| 0.01
222	| 0.21	| 0.21	| 0.18	| 0.03
223	| 0.33	| 0.31	| 0.33	| 0.02
224	| 0.01	| 0.01	| 0.01	| 0.00
225	| 0.29	| 0.27	| 0.29	| 0.02
226	| 0.03	| 0.03	| 0.02	| 0.01
227	| 0.17	| 0.18	| 0.20	| 0.03
228	| 0.28	| 0.26	| 0.30	| 0.04
229	| 0.09	| 0.10	| 0.09	| 0.01
230	| 0.14	| 0.12	| 0.13	| 0.01
231	| 0.08	| 0.08	| 0.08	| 0.00
232	| 0.23	| 0.23	| 0.23	| 0.01
233	| 0.26	| 0.29	| 0.28	| 0.04
234	| 0.05	| 0.06	| 0.06	| 0.01
235	| 0.10	| 0.12	| 0.09	| 0.03
236	| 0.30	| 0.29	| 0.29	| 0.01
237	| 0.08	| 0.10	| 0.09	| 0.02
238	| 0.32	| 0.31	| 0.29	| 0.03
239	| 0.09	| 0.12	| 0.12	| 0.03
240	| 0.19	| 0.24	| 0.23	| 0.05
241	| 0.12	| 0.14	| 0.13	| 0.02
242	| 0.05	| 0.06	| 0.05	| 0.00
243	| 0.15	| 0.14	| 0.16	| 0.02
244	| 0.05	| 0.05	| 0.04	| 0.01
245	| 0.31	| 0.31	| 0.34	| 0.03
246	| 0.04	| 0.05	| 0.05	| 0.01
247	| 0.06	| 0.04	| 0.05	| 0.02
248	| 0.29	| 0.30	| 0.33	| 0.04
249	| 0.17	| 0.14	| 0.15	| 0.02
250	| 0.13	| 0.17	| 0.15	| 0.04
251	| 0.28	| 0.31	| 0.30	| 0.03
252	| 0.15	| 0.13	| 0.17	| 0.03
253	| 0.02	| 0.02	| 0.02	| 0.00
254	| 0.18	| 0.19	| 0.19	| 0.01
255	| 0.34	| 0.30	| 0.32	| 0.03
256	| 0.12	| 0.15	| 0.15	| 0.03
