Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 599.616416ms, Fenwick: 397.691833ms, Python: 10.892053127s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 1.08	| 1.11	| 1.13	| 0.05
1	| 0.09	| 0.12	| 0.12	| 0.03
2	| 1.85	| 1.88	| 1.88	| 0.03
3	| 1.64	| 1.72	| 1.76	| 0.12
4	| 0.86	| 0.94	| 0.91	| 0.08
5	| 0.30	| 0.28	| 0.29	| 0.01
6	| 0.26	| 0.23	| 0.25	| 0.02
7	| 1.82	| 1.85	| 1.74	| 0.11
8	| 0.47	| 0.47	| 0.45	| 0.02
9	| 0.35	| 0.35	| 0.34	| 0.01
10	| 0.89	| 0.94	| 0.86	| 0.09
11	| 1.45	| 1.43	| 1.43	| 0.02
12	| 0.68	| 0.62	| 0.65	| 0.05
13	| 1.26	| 1.24	| 1.34	| 0.10
14	| 1.40	| 1.48	| 1.49	| 0.09
15	| 0.19	| 0.19	| 0.16	| 0.04
16	| 1.60	| 1.53	| 1.57	| 0.07
17	| 0.61	| 0.62	| 0.63	| 0.01
18	| 0.10	| 0.10	| 0.10	| 0.00
19	| 1.36	| 1.36	| 1.42	| 0.06
20	| 1.30	| 1.33	| 1.27	| 0.06
21	| 0.34	| 0.32	| 0.35	| 0.03
22	| 1.95	| 1.93	| 1.89	| 0.06
23	| 0.33	| 0.33	| 0.34	| 0.01
24	| 0.06	| 0.06	| 0.06	| 0.01
25	| 0.70	| 0.66	| 0.70	| 0.04
26	| 0.00	| 0.00	| 0.00	| 0.00
27	| 0.42	| 0.39	| 0.45	| 0.05
28	| 1.34	| 1.32	| 1.30	| 0.04
29	| 0.73	| 0.67	| 0.67	| 0.06
30	| 0.01	| 0.01	| 0.01	| 0.00
31	| 0.44	| 0.43	| 0.45	| 0.02
32	| 1.02	| 1.04	| 0.96	| 0.08
33	| 0.60	| 0.59	| 0.62	| 0.03
34	| 1.79	| 1.91	| 1.87	| 0.12
35	| 0.15	| 0.15	| 0.15	| 0.01
36	| 1.30	| 1.25	| 1.34	| 0.09
37	| 1.64	| 1.67	| 1.66	| 0.03
38	| 1.07	| 1.09	| 1.06	| 0.02
39	| 1.43	| 1.33	| 1.33	| 0.10
40	| 0.26	| 0.28	| 0.28	| 0.03
41	| 0.56	| 0.64	| 0.54	| 0.10
42	| 0.82	| 0.81	| 0.81	| 0.01
43	| 1.50	| 1.46	| 1.55	| 0.10
44	| 1.84	| 1.81	| 1.86	| 0.05
45	| 0.00	| 0.00	| 0.00	| 0.00
46	| 1.48	| 1.49	| 1.54	| 0.05
47	| 1.41	| 1.45	| 1.47	| 0.05
48	| 1.35	| 1.39	| 1.35	| 0.04
49	| 1.92	| 1.99	| 1.88	| 0.11
50	| 1.09	| 1.02	| 1.07	| 0.07
51	| 0.90	| 0.92	| 0.90	| 0.02
52	| 1.24	| 1.23	| 1.22	| 0.02
53	| 0.97	| 0.95	| 0.97	| 0.02
54	| 1.15	| 1.15	| 1.13	| 0.02
55	| 1.16	| 1.16	| 1.13	| 0.03
56	| 1.10	| 1.12	| 1.05	| 0.07
57	| 0.31	| 0.30	| 0.30	| 0.01
58	| 0.71	| 0.80	| 0.75	| 0.09
59	| 1.76	| 1.88	| 1.89	| 0.13
60	| 1.42	| 1.39	| 1.37	| 0.05
61	| 2.01	| 1.99	| 2.01	| 0.03
62	| 1.64	| 1.58	| 1.62	| 0.06
63	| 1.98	| 1.98	| 1.91	| 0.07
64	| 1.41	| 1.46	| 1.39	| 0.07
65	| 1.56	| 1.43	| 1.51	| 0.13
66	| 1.39	| 1.41	| 1.35	| 0.05
67	| 0.50	| 0.47	| 0.52	| 0.05
68	| 0.67	| 0.71	| 0.75	| 0.07
69	| 0.49	| 0.53	| 0.49	| 0.04
70	| 0.71	| 0.72	| 0.73	| 0.02
71	| 1.21	| 1.20	| 1.16	| 0.05
72	| 0.16	| 0.15	| 0.14	| 0.02
73	| 1.29	| 1.33	| 1.30	| 0.04
74	| 1.20	| 1.19	| 1.29	| 0.09
75	| 1.51	| 1.53	| 1.45	| 0.08
