Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 26.154720166s, Fenwick: 3.934096166s, Python: 25.844041109s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 77.85	| 77.94	| 78.16	| 0.31
1	| 69.68	| 69.37	| 69.37	| 0.32
2	| 56.50	| 56.49	| 56.51	| 0.01
3	| 11.08	| 11.06	| 11.09	| 0.03
4	| 75.87	| 75.65	| 75.70	| 0.22
5	| 68.93	| 68.69	| 68.91	| 0.25
6	| 15.06	| 15.02	| 14.89	| 0.17
7	| 72.30	| 71.98	| 71.84	| 0.46
8	| 32.63	| 32.69	| 32.70	| 0.07
9	| 72.86	| 72.84	| 72.80	| 0.06
10	| 71.48	| 71.13	| 71.39	| 0.36
11	| 75.94	| 75.92	| 75.92	| 0.02
12	| 56.76	| 56.66	| 56.74	| 0.10
13	| 66.81	| 66.59	| 66.62	| 0.22
14	| 71.72	| 71.69	| 71.50	| 0.22
15	| 73.80	| 73.92	| 73.83	| 0.13
16	| 73.13	| 72.91	| 73.18	| 0.26
17	| 46.72	| 46.91	| 47.16	| 0.44
18	| 41.65	| 41.38	| 41.58	| 0.27
19	| 67.84	| 67.60	| 67.75	| 0.23
20	| 76.63	| 76.65	| 76.45	| 0.20
21	| 30.48	| 30.66	| 30.28	| 0.38
22	| 39.07	| 38.89	| 38.80	| 0.27
23	| 41.12	| 41.31	| 41.05	| 0.26
24	| 50.58	| 51.01	| 51.18	| 0.59
25	| 77.62	| 77.50	| 77.70	| 0.21
26	| 74.67	| 74.70	| 74.57	| 0.13
27	| 64.34	| 64.38	| 64.49	| 0.14
28	| 18.25	| 18.47	| 18.42	| 0.22
29	| 62.64	| 62.63	| 62.66	| 0.03
30	| 46.42	| 46.06	| 46.04	| 0.38
31	| 77.40	| 77.64	| 77.84	| 0.44
32	| 62.62	| 62.93	| 62.73	| 0.32
33	| 15.16	| 15.11	| 15.14	| 0.05
34	| 3.54	| 3.71	| 3.75	| 0.21
35	| 32.77	| 32.89	| 32.85	| 0.12
36	| 45.29	| 45.05	| 45.20	| 0.24
37	| 76.33	| 76.53	| 76.44	| 0.20
38	| 55.00	| 55.21	| 55.08	| 0.21
39	| 70.77	| 70.53	| 70.67	| 0.23
40	| 62.25	| 62.26	| 62.18	| 0.08
41	| 8.29	| 8.12	| 8.29	| 0.18
42	| 38.50	| 38.59	| 38.69	| 0.19
43	| 76.06	| 75.97	| 75.61	| 0.45
44	| 75.80	| 76.12	| 75.95	| 0.33
45	| 35.01	| 35.06	| 35.18	| 0.16
46	| 77.22	| 77.30	| 77.13	| 0.17
47	| 32.16	| 32.12	| 32.01	| 0.15
48	| 76.64	| 76.44	| 76.30	| 0.34
49	| 75.14	| 75.23	| 75.28	| 0.13
50	| 77.63	| 77.68	| 77.78	| 0.15
51	| 69.99	| 69.92	| 69.66	| 0.33
52	| 31.70	| 31.95	| 31.82	| 0.25
53	| 46.23	| 46.15	| 46.48	| 0.33
54	| 34.44	| 34.00	| 34.54	| 0.54
55	| 0.39	| 0.43	| 0.40	| 0.03
56	| 4.10	| 4.14	| 4.09	| 0.04
57	| 12.19	| 12.17	| 11.98	| 0.21
58	| 59.19	| 59.10	| 59.13	| 0.09
59	| 48.79	| 48.72	| 48.58	| 0.21
60	| 40.18	| 40.36	| 40.39	| 0.21
61	| 70.30	| 70.55	| 70.37	| 0.25
62	| 29.75	| 29.57	| 29.64	| 0.19
63	| 3.12	| 3.02	| 3.05	| 0.10
64	| 29.28	| 29.09	| 29.05	| 0.23
65	| 33.28	| 33.81	| 33.75	| 0.53
66	| 23.44	| 23.48	| 23.55	| 0.10
67	| 72.67	| 72.86	| 73.10	| 0.43
68	| 12.27	| 12.31	| 12.54	| 0.27
69	| 73.96	| 74.19	| 74.02	| 0.23
70	| 55.09	| 55.14	| 55.07	| 0.07
71	| 5.10	| 5.11	| 4.80	| 0.31
72	| 36.81	| 36.88	| 37.04	| 0.23
73	| 74.20	| 74.47	| 74.13	| 0.34
74	| 72.36	| 72.36	| 72.69	| 0.33
75	| 50.23	| 50.19	| 50.38	| 0.19
76	| 45.94	| 45.63	| 45.64	| 0.31
77	| 64.27	| 64.00	| 64.28	| 0.28
78	| 71.96	| 71.83	| 72.21	| 0.39
79	| 64.21	| 64.09	| 64.21	| 0.12
80	| 30.24	| 30.03	| 30.36	| 0.33
81	| 58.56	| 58.34	| 58.58	| 0.24
82	| 29.98	| 29.96	| 29.75	| 0.22
83	| 69.22	| 68.99	| 68.70	| 0.52
84	| 26.73	| 26.47	| 26.34	| 0.39
85	| 35.19	| 35.50	| 35.26	| 0.31
86	| 62.21	| 62.05	| 62.20	| 0.16
87	| 36.25	| 36.07	| 36.34	| 0.27
88	| 56.51	| 56.54	| 56.39	| 0.16
89	| 33.99	| 33.98	| 33.93	| 0.06
90	| 38.40	| 38.39	| 38.35	| 0.06
91	| 7.11	| 7.12	| 7.12	| 0.01
92	| 76.33	| 76.26	| 76.16	| 0.17
93	| 60.50	| 60.19	| 60.11	| 0.40
94	| 70.08	| 70.10	| 69.99	| 0.11
95	| 70.25	| 70.07	| 70.43	| 0.37
96	| 69.10	| 69.06	| 68.76	| 0.34
97	| 61.23	| 61.41	| 61.48	| 0.25
98	| 40.81	| 40.97	| 40.71	| 0.26
99	| 44.49	| 44.50	| 44.27	| 0.23
100	| 66.21	| 65.93	| 66.13	| 0.28
101	| 34.68	| 35.07	| 34.78	| 0.39
102	| 3.87	| 3.77	| 3.82	| 0.09
103	| 72.30	| 72.39	| 72.23	| 0.15
104	| 56.28	| 56.36	| 56.20	| 0.16
105	| 50.46	| 50.79	| 50.45	| 0.34
106	| 56.57	| 56.25	| 56.44	| 0.32
107	| 61.65	| 61.39	| 61.70	| 0.31
108	| 39.55	| 39.51	| 39.39	| 0.16
109	| 32.87	| 32.84	| 32.93	| 0.09
110	| 67.35	| 67.52	| 67.17	| 0.35
111	| 42.68	| 42.42	| 42.47	| 0.26
112	| 50.44	| 50.75	| 50.46	| 0.31
113	| 71.19	| 71.28	| 71.43	| 0.24
114	| 63.50	| 63.96	| 63.75	| 0.46
115	| 70.11	| 70.07	| 69.90	| 0.21
116	| 72.80	| 72.70	| 72.57	| 0.23
117	| 70.82	| 70.64	| 70.65	| 0.18
118	| 19.33	| 19.38	| 19.43	| 0.11
119	| 78.24	| 78.14	| 78.08	| 0.16
120	| 49.58	| 49.79	| 49.83	| 0.25
121	| 61.22	| 60.94	| 61.52	| 0.58
122	| 28.07	| 27.95	| 27.98	| 0.12
123	| 24.39	| 24.44	| 24.50	| 0.11
124	| 0.72	| 0.69	| 0.71	| 0.03
125	| 53.26	| 53.55	| 53.60	| 0.34
126	| 71.44	| 71.51	| 71.31	| 0.20
127	| 75.32	| 75.21	| 74.94	| 0.38
128	| 12.62	| 12.58	| 12.64	| 0.06
129	| 74.27	| 74.40	| 74.16	| 0.24
130	| 60.38	| 60.36	| 60.40	| 0.04
131	| 60.65	| 60.52	| 60.81	| 0.29
132	| 43.00	| 43.33	| 43.17	| 0.33
133	| 66.12	| 66.07	| 66.19	| 0.11
134	| 78.27	| 78.00	| 78.31	| 0.32
135	| 25.28	| 25.30	| 25.45	| 0.17
136	| 48.29	| 48.41	| 48.24	| 0.17
137	| 4.17	| 4.17	| 4.09	| 0.08
138	| 45.18	| 45.14	| 45.21	| 0.07
139	| 36.59	| 36.43	| 36.36	| 0.23
140	| 63.02	| 63.20	| 62.98	| 0.22
141	| 69.97	| 70.18	| 69.91	| 0.27
142	| 14.71	| 14.72	| 14.49	| 0.22
143	| 46.39	| 46.42	| 46.98	| 0.59
144	| 42.38	| 42.34	| 42.33	| 0.05
145	| 73.01	| 73.00	| 73.14	| 0.14
146	| 68.10	| 68.16	| 68.26	| 0.16
147	| 20.67	| 20.59	| 21.09	| 0.50
148	| 22.69	| 22.67	| 22.68	| 0.02
149	| 71.70	| 72.08	| 71.89	| 0.38
150	| 46.31	| 46.04	| 46.15	| 0.27
151	| 56.34	| 55.93	| 56.07	| 0.40
152	| 56.71	| 56.86	| 56.51	| 0.35
153	| 42.25	| 42.29	| 41.94	| 0.36
154	| 1.62	| 1.66	| 1.62	| 0.04
155	| 36.38	| 36.26	| 35.95	| 0.43
156	| 7.70	| 7.62	| 7.69	| 0.09
157	| 72.39	| 72.80	| 72.41	| 0.41
158	| 61.85	| 61.76	| 61.99	| 0.23
159	| 53.88	| 53.91	| 53.90	| 0.03
160	| 52.62	| 52.57	| 52.82	| 0.25
161	| 31.87	| 31.93	| 32.14	| 0.27
162	| 58.41	| 58.37	| 58.35	| 0.06
163	| 23.43	| 23.05	| 23.40	| 0.38
164	| 35.96	| 36.18	| 36.07	| 0.22
165	| 77.59	| 77.20	| 77.47	| 0.39
166	| 70.57	| 70.57	| 70.59	| 0.02
167	| 64.82	| 64.76	| 64.94	| 0.18
168	| 76.16	| 76.23	| 76.20	| 0.07
169	| 72.46	| 72.79	| 72.70	| 0.33
170	| 17.05	| 16.96	| 16.83	| 0.22
171	| 65.49	| 65.70	| 65.75	| 0.26
172	| 7.02	| 6.96	| 6.98	| 0.06
173	| 8.62	| 8.86	| 8.92	| 0.30
174	| 75.02	| 75.07	| 75.44	| 0.41
175	| 68.00	| 68.08	| 67.74	| 0.34
176	| 50.86	| 50.89	| 51.32	| 0.46
177	| 49.19	| 49.15	| 49.40	| 0.25
178	| 5.56	| 5.46	| 5.36	| 0.21
179	| 71.54	| 71.36	| 71.46	| 0.19
180	| 64.77	| 64.97	| 64.95	| 0.20
181	| 47.03	| 47.05	| 46.78	| 0.27
182	| 70.06	| 70.10	| 69.99	| 0.11
183	| 54.74	| 54.54	| 54.39	| 0.34
184	| 32.48	| 32.69	| 32.65	| 0.21
185	| 60.66	| 61.15	| 61.03	| 0.49
186	| 3.71	| 3.76	| 3.71	| 0.05
187	| 8.69	| 8.81	| 8.67	| 0.14
188	| 66.95	| 66.83	| 66.82	| 0.13
189	| 70.94	| 70.83	| 70.29	| 0.64
190	| 8.84	| 8.76	| 8.78	| 0.08
191	| 77.79	| 77.55	| 77.70	| 0.24
192	| 6.87	| 6.79	| 6.87	| 0.08
193	| 56.27	| 56.47	| 56.52	| 0.24
194	| 39.88	| 40.15	| 40.19	| 0.32
195	| 64.95	| 64.92	| 64.62	| 0.33
196	| 41.72	| 41.95	| 41.99	| 0.27
197	| 65.81	| 66.04	| 66.10	| 0.29
198	| 74.30	| 74.54	| 74.67	| 0.36
199	| 78.11	| 77.89	| 77.81	| 0.30
200	| 71.65	| 71.82	| 71.55	| 0.27
201	| 74.63	| 74.54	| 74.54	| 0.09
202	| 60.18	| 60.25	| 60.40	| 0.22
203	| 76.64	| 76.64	| 76.49	| 0.15
204	| 39.16	| 39.13	| 39.08	| 0.08
205	| 50.34	| 50.10	| 50.02	| 0.32
206	| 62.38	| 62.41	| 62.47	| 0.10
207	| 63.55	| 63.58	| 63.55	| 0.03
208	| 9.47	| 9.47	| 9.32	| 0.15
209	| 67.87	| 67.79	| 67.74	| 0.12
210	| 59.39	| 59.49	| 59.79	| 0.40
211	| 57.13	| 57.40	| 57.22	| 0.27
212	| 60.34	| 60.52	| 60.26	| 0.26
213	| 35.63	| 35.53	| 35.95	| 0.42
214	| 66.01	| 65.85	| 65.93	| 0.17
215	| 47.15	| 47.02	| 47.14	| 0.13
216	| 27.55	| 27.76	| 27.30	| 0.46
217	| 76.68	| 76.83	| 76.73	| 0.14
218	| 22.89	| 22.79	| 23.11	| 0.32
219	| 67.57	| 67.86	| 67.52	| 0.34
220	| 50.35	| 50.48	| 50.53	| 0.18
221	| 75.52	| 75.60	| 75.52	| 0.08
222	| 51.95	| 51.65	| 52.03	| 0.37
