Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1 in the following indices: []
Elapsed time: Naive: 347.944833ms, Fenwick: 277.981042ms, Python: 4.698262929s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 41.95	| 42.15	| 41.79	| 0.36
1	| 3.65	| 3.73	| 3.59	| 0.14
2	| 44.61	| 44.91	| 44.98	| 0.37
3	| 32.73	| 32.86	| 32.68	| 0.18
4	| 70.53	| 70.34	| 70.60	| 0.26
5	| 79.80	| 79.86	| 79.91	| 0.11
6	| 49.03	| 48.91	| 48.91	| 0.13
7	| 11.31	| 11.22	| 11.09	| 0.21
8	| 48.73	| 48.98	| 48.86	| 0.25
9	| 66.26	| 66.05	| 66.05	| 0.22
10	| 51.82	| 51.77	| 51.98	| 0.21
11	| 73.25	| 73.54	| 73.37	| 0.29
12	| 78.37	| 78.31	| 78.11	| 0.26
13	| 73.87	| 74.08	| 73.92	| 0.21
14	| 67.44	| 67.25	| 67.12	| 0.32
15	| 48.64	| 48.38	| 49.06	| 0.67
16	| 58.89	| 59.11	| 59.21	| 0.32
17	| 62.88	| 62.72	| 62.75	| 0.17
18	| 54.11	| 53.98	| 53.83	| 0.28
19	| 50.69	| 50.70	| 50.76	| 0.08
20	| 38.37	| 38.47	| 38.22	| 0.26
21	| 75.74	| 75.79	| 75.63	| 0.15
22	| 71.62	| 71.38	| 71.39	| 0.24
23	| 25.37	| 25.44	| 25.33	| 0.11
24	| 17.80	| 17.77	| 17.98	| 0.21
25	| 79.79	| 79.54	| 79.62	| 0.25
26	| 70.86	| 71.04	| 70.83	| 0.21
27	| 48.18	| 48.22	| 48.10	| 0.13
28	| 33.30	| 33.75	| 33.49	| 0.45
29	| 56.28	| 56.45	| 56.38	| 0.18
30	| 54.11	| 54.22	| 54.44	| 0.33
31	| 21.74	| 21.55	| 21.80	| 0.25
32	| 10.52	| 10.60	| 10.47	| 0.12
33	| 46.00	| 46.15	| 46.01	| 0.16
34	| 70.75	| 71.03	| 70.99	| 0.28
35	| 26.13	| 26.22	| 26.24	| 0.11
36	| 71.46	| 71.16	| 71.41	| 0.31
37	| 41.48	| 41.38	| 41.49	| 0.11
38	| 64.11	| 64.51	| 64.08	| 0.43
39	| 55.02	| 55.10	| 54.85	| 0.25
40	| 48.15	| 48.17	| 48.31	| 0.16
41	| 33.59	| 33.50	| 33.54	| 0.09
42	| 71.91	| 72.21	| 71.92	| 0.30
43	| 19.90	| 19.94	| 19.69	| 0.25
44	| 79.14	| 78.78	| 78.89	| 0.36
45	| 50.42	| 50.49	| 50.17	| 0.32
46	| 78.25	| 78.10	| 78.43	| 0.33
47	| 52.34	| 52.32	| 52.38	| 0.06
48	| 41.70	| 41.75	| 41.53	| 0.22
49	| 68.65	| 68.88	| 68.92	| 0.27
50	| 4.76	| 4.73	| 4.90	| 0.17
51	| 45.94	| 46.27	| 46.03	| 0.33
52	| 75.78	| 75.61	| 75.77	| 0.17
53	| 69.29	| 69.17	| 68.85	| 0.44
54	| 73.42	| 73.50	| 73.58	| 0.17
55	| 42.70	| 42.50	| 42.88	| 0.38
56	| 76.93	| 76.84	| 76.87	| 0.09
57	| 45.18	| 45.05	| 44.89	| 0.29
58	| 43.53	| 43.59	| 43.64	| 0.11
59	| 68.04	| 68.32	| 68.15	| 0.28
60	| 42.64	| 42.40	| 42.82	| 0.42
61	| 34.94	| 34.94	| 34.87	| 0.08
62	| 68.15	| 67.95	| 68.17	| 0.22
63	| 32.53	| 32.07	| 32.17	| 0.46
64	| 72.02	| 72.35	| 72.13	| 0.33
65	| 39.39	| 39.70	| 39.28	| 0.42
66	| 68.00	| 68.06	| 68.03	| 0.05
67	| 31.39	| 31.66	| 31.85	| 0.46
68	| 56.79	| 56.54	| 56.64	| 0.25
69	| 3.95	| 3.96	| 3.94	| 0.02
70	| 31.06	| 30.94	| 30.90	| 0.16
71	| 30.53	| 30.58	| 30.47	| 0.11
72	| 61.21	| 61.10	| 61.09	| 0.12
73	| 18.27	| 18.29	| 18.07	| 0.22
74	| 58.23	| 58.15	| 58.39	| 0.23
75	| 59.14	| 59.00	| 59.07	| 0.14
76	| 35.56	| 35.05	| 35.47	| 0.51
77	| 38.36	| 38.52	| 38.70	| 0.34
78	| 57.88	| 57.67	| 57.82	| 0.21
79	| 14.24	| 14.21	| 14.20	| 0.04
80	| 78.31	| 78.39	| 78.12	| 0.27
81	| 70.32	| 70.27	| 70.66	| 0.39
82	| 57.84	| 57.70	| 57.74	| 0.14
83	| 32.14	| 32.16	| 31.93	| 0.22
84	| 4.11	| 4.13	| 4.09	| 0.04
85	| 54.04	| 53.86	| 53.91	| 0.17
86	| 69.89	| 69.62	| 69.91	| 0.29
87	| 62.45	| 62.37	| 62.64	| 0.27
88	| 12.01	| 11.96	| 12.10	| 0.14
89	| 67.31	| 67.42	| 67.20	| 0.23
90	| 51.24	| 51.19	| 51.20	| 0.05
91	| 44.50	| 44.29	| 44.13	| 0.37
92	| 4.63	| 4.54	| 4.55	| 0.09
93	| 44.92	| 45.10	| 44.93	| 0.17
94	| 63.70	| 63.88	| 64.06	| 0.36
95	| 67.40	| 67.43	| 67.75	| 0.35
96	| 59.33	| 59.45	| 59.68	| 0.34
97	| 37.12	| 37.23	| 37.03	| 0.21
98	| 77.81	| 77.81	| 77.79	| 0.02
99	| 49.84	| 49.71	| 49.83	| 0.13
