Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1 in the following indices: []
Elapsed time: Naive: 14.94768425s, Fenwick: 1.700940875s, Python: 31.980916261s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 1.23	| 1.30	| 1.28	| 0.07
1	| 1.42	| 1.37	| 1.40	| 0.05
2	| 5.65	| 5.38	| 5.67	| 0.29
3	| 4.72	| 4.87	| 5.04	| 0.33
4	| 2.68	| 2.70	| 2.60	| 0.10
5	| 6.21	| 5.85	| 6.06	| 0.35
6	| 1.49	| 1.46	| 1.46	| 0.03
7	| 5.15	| 5.27	| 5.16	| 0.12
8	| 4.60	| 4.80	| 4.65	| 0.20
9	| 0.19	| 0.17	| 0.21	| 0.04
10	| 5.41	| 5.46	| 5.30	| 0.16
11	| 1.77	| 1.74	| 1.82	| 0.08
12	| 4.47	| 4.46	| 4.54	| 0.08
13	| 5.31	| 5.29	| 5.32	| 0.04
14	| 3.49	| 3.47	| 3.53	| 0.06
15	| 5.94	| 5.97	| 6.10	| 0.16
16	| 4.85	| 4.90	| 4.88	| 0.05
17	| 0.89	| 0.83	| 0.86	| 0.07
18	| 4.40	| 4.43	| 4.31	| 0.11
19	| 1.58	| 1.59	| 1.58	| 0.01
20	| 4.06	| 4.07	| 4.00	| 0.07
21	| 5.12	| 5.08	| 5.00	| 0.13
22	| 1.09	| 1.14	| 1.09	| 0.05
23	| 0.43	| 0.44	| 0.43	| 0.01
24	| 1.57	| 1.62	| 1.61	| 0.05
25	| 2.33	| 2.28	| 2.33	| 0.05
26	| 1.06	| 1.08	| 1.07	| 0.02
27	| 3.26	| 3.22	| 3.17	| 0.09
28	| 2.75	| 2.87	| 2.72	| 0.14
29	| 5.42	| 5.39	| 5.38	| 0.04
30	| 4.45	| 4.36	| 4.42	| 0.08
31	| 5.43	| 5.45	| 5.41	| 0.04
32	| 1.87	| 1.93	| 1.88	| 0.06
33	| 4.45	| 4.50	| 4.46	| 0.06
34	| 4.20	| 4.24	| 4.31	| 0.12
35	| 0.71	| 0.69	| 0.68	| 0.03
36	| 4.54	| 4.53	| 4.50	| 0.03
37	| 4.48	| 4.40	| 4.47	| 0.07
38	| 0.68	| 0.69	| 0.76	| 0.08
39	| 3.40	| 3.31	| 3.43	| 0.11
40	| 0.49	| 0.55	| 0.49	| 0.06
41	| 4.84	| 4.62	| 4.54	| 0.30
42	| 0.60	| 0.59	| 0.58	| 0.02
43	| 5.46	| 5.63	| 5.59	| 0.17
44	| 5.82	| 5.89	| 5.74	| 0.15
45	| 2.50	| 2.54	| 2.66	| 0.16
46	| 1.51	| 1.55	| 1.54	| 0.04
47	| 6.38	| 6.32	| 6.38	| 0.06
48	| 3.64	| 3.51	| 3.48	| 0.16
49	| 1.89	| 1.86	| 1.77	| 0.12
50	| 2.98	| 3.08	| 3.02	| 0.10
51	| 6.39	| 6.38	| 6.43	| 0.05
52	| 4.20	| 4.10	| 4.07	| 0.13
53	| 2.77	| 2.80	| 2.83	| 0.06
54	| 4.24	| 4.27	| 4.32	| 0.08
55	| 1.73	| 1.78	| 1.76	| 0.05
56	| 1.77	| 1.79	| 1.82	| 0.06
57	| 2.88	| 2.87	| 2.89	| 0.02
58	| 6.19	| 6.11	| 6.21	| 0.10
59	| 0.45	| 0.48	| 0.44	| 0.04
60	| 4.52	| 4.56	| 4.61	| 0.09
61	| 3.05	| 3.14	| 3.11	| 0.09
62	| 4.20	| 4.08	| 4.07	| 0.13
63	| 4.21	| 4.22	| 4.26	| 0.05
64	| 5.10	| 5.25	| 5.13	| 0.15
65	| 2.60	| 2.73	| 2.77	| 0.17
66	| 1.48	| 1.52	| 1.56	| 0.08
67	| 5.02	| 4.91	| 4.99	| 0.11
