Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1%p in the following indices: []
Elapsed time: Naive: 2m28.592537125s, Fenwick: 9.854176041s, Python: 59.581200838s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Naive	| Fenw	| Pyth	| Diff(Max-Min)
---------------------------------------------
0	| 56.19	| 56.39	| 56.27	| 0.20
1	| 49.73	| 49.72	| 49.83	| 0.10
2	| 55.77	| 56.06	| 55.92	| 0.30
3	| 30.08	| 29.58	| 29.75	| 0.49
4	| 38.88	| 38.77	| 38.72	| 0.16
5	| 23.89	| 24.14	| 23.91	| 0.25
6	| 10.26	| 10.41	| 10.17	| 0.24
7	| 13.01	| 12.75	| 13.02	| 0.28
8	| 31.00	| 31.21	| 31.25	| 0.25
9	| 28.22	| 28.14	| 28.19	| 0.08
10	| 52.94	| 52.66	| 52.60	| 0.35
11	| 2.88	| 3.00	| 2.86	| 0.14
12	| 5.32	| 5.40	| 5.34	| 0.08
13	| 36.85	| 36.91	| 36.52	| 0.39
14	| 54.63	| 54.82	| 54.43	| 0.40
15	| 34.05	| 34.20	| 34.19	| 0.15
16	| 53.07	| 52.86	| 53.19	| 0.33
17	| 14.52	| 14.48	| 14.45	| 0.06
18	| 22.91	| 22.81	| 22.72	| 0.20
19	| 16.67	| 16.96	| 16.95	| 0.29
20	| 42.77	| 42.68	| 42.72	| 0.10
21	| 29.60	| 29.51	| 29.17	| 0.43
22	| 14.92	| 15.09	| 15.07	| 0.16
23	| 24.51	| 24.34	| 24.71	| 0.37
24	| 44.06	| 44.40	| 44.05	| 0.35
25	| 31.52	| 31.36	| 31.57	| 0.21
26	| 32.71	| 32.89	| 32.96	| 0.25
27	| 31.22	| 31.14	| 31.23	| 0.09
28	| 57.88	| 58.15	| 57.90	| 0.27
29	| 45.56	| 45.86	| 45.72	| 0.30
30	| 33.34	| 33.66	| 33.56	| 0.33
31	| 36.32	| 36.38	| 36.29	| 0.09
32	| 51.94	| 52.12	| 52.00	| 0.18
33	| 49.69	| 49.72	| 49.55	| 0.17
34	| 41.60	| 41.71	| 41.52	| 0.19
35	| 37.83	| 38.18	| 37.85	| 0.35
36	| 55.30	| 55.32	| 55.02	| 0.30
37	| 18.45	| 18.73	| 18.82	| 0.37
38	| 22.08	| 22.01	| 22.26	| 0.26
39	| 48.04	| 47.99	| 47.96	| 0.08
40	| 23.65	| 23.64	| 23.54	| 0.10
41	| 16.02	| 15.93	| 15.99	| 0.09
42	| 9.44	| 9.25	| 9.37	| 0.19
43	| 49.75	| 49.80	| 49.45	| 0.35
44	| 37.32	| 37.20	| 37.20	| 0.12
45	| 37.97	| 37.63	| 38.30	| 0.67
46	| 45.45	| 45.82	| 45.37	| 0.45
47	| 54.38	| 54.43	| 54.11	| 0.32
48	| 12.29	| 11.97	| 12.08	| 0.31
49	| 37.64	| 37.86	| 37.79	| 0.23
50	| 57.23	| 57.32	| 57.27	| 0.09
51	| 50.61	| 50.50	| 50.54	| 0.12
52	| 40.03	| 40.19	| 40.08	| 0.16
53	| 45.85	| 46.04	| 45.69	| 0.36
54	| 11.00	| 10.75	| 10.79	| 0.25
55	| 46.55	| 46.72	| 46.93	| 0.38
56	| 5.34	| 5.32	| 5.36	| 0.04
57	| 29.15	| 29.09	| 29.27	| 0.19
58	| 10.75	| 10.87	| 10.56	| 0.31
59	| 48.36	| 48.80	| 48.59	| 0.44
60	| 18.64	| 18.64	| 18.86	| 0.22
61	| 55.95	| 55.58	| 55.67	| 0.36
62	| 12.32	| 12.30	| 12.20	| 0.12
63	| 19.10	| 19.43	| 18.79	| 0.64
64	| 32.07	| 31.90	| 32.09	| 0.19
65	| 43.30	| 43.46	| 43.76	| 0.46
66	| 45.21	| 45.54	| 45.37	| 0.33
67	| 50.27	| 50.20	| 50.10	| 0.17
